record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1070233289","663839437","-62509250","0.62","0","53.799999999999955","12.329","364","106","53.799999999999955","12.329",
"1070233290","663838072","-62509264","13.36","0","53.799999999999955","12.433","350","106","53.799999999999955","12.433",
"1070233291","663836750","-62509220","25.68","0","53.799999999999955","12.546","385","106","53.799999999999955","12.546",
"1070233292","663835404","-62509191","38.24","0","53.799999999999955","12.662","384","105","53.799999999999955","12.662",
"1070233293","663834048","-62509312","50.9","0","53.799999999999955","12.785","393","106","53.799999999999955","12.785",
"1070233294","663832637","-62509539","64.12","0","53.799999999999955","12.887","326","106","53.799999999999955","12.887",
"1070233295","663831312","-62509937","76.66","0","53.799999999999955","12.962","337","106","53.799999999999955","12.962",
"1070233296","663829958","-62510489","89.62","0","53.60000000000002","12.966","254","105","53.60000000000002","12.966",
"1070233297","663828552","-62511149","103.18","0","53.60000000000002","12.996","324","102","53.60000000000002","12.996",
"1070233298","663827268","-62511760","115.59","0","53.60000000000002","13.035","340","103","53.60000000000002","13.035",
"1070233299","663825882","-62512394","128.93","0","53.799999999999955","13.079","349","104","53.799999999999955","13.079",
"1070233300","663824534","-62512984","141.87","0","53.799999999999955","13.086","298","103","53.799999999999955","13.086",
"1070233301","663823142","-62513553","155.19","0","53.60000000000002","13.14","350","103","53.60000000000002","13.14",
"1070233302","663821809","-62514174","168.06","0","53.60000000000002","13.225","375","102","53.60000000000002","13.225",
"1070233303","663820603","-62515486","181.34","0","53.60000000000002","13.267","329","103","53.60000000000002","13.267",
"1070233304","663819854","-62517599","194.63","0","53.60000000000002","13.289","316","103","53.60000000000002","13.289",
"1070233305","663819624","-62520091","207.92","0","53.60000000000002","13.296","304","102","53.60000000000002","13.296",
"1070233306","663819099","-62522483","221.53","0","53.60000000000002","13.326","315","102","53.60000000000002","13.326",
"1070233307","663818033","-62524117","234.81","0","53.60000000000002","13.4","372","101","53.60000000000002","13.4",
"1070233308","663816656","-62524776","248.2","0","53.60000000000002","13.512","420","103","53.60000000000002","13.512",
"1070233309","663815223","-62524358","261.85","0","53.60000000000002","13.618","412","104","53.60000000000002","13.618",
"1070233310","663814043","-62522882","275.44","0","53.60000000000002","13.651","343","104","53.60000000000002","13.651",
"1070233311","663813148","-62520825","289.13","0","53.60000000000002","13.673","363","104","53.60000000000002","13.673",
"1070233312","663811846","-62519583","303.07","0","53.60000000000002","13.685","335","104","53.60000000000002","13.685",
"1070233313","663810432","-62519192","316.43","0","53.60000000000002","13.659","290","104","53.60000000000002","13.659",
"1070233314","663808952","-62519059","330.25","0","53.60000000000002","13.687","378","104","53.60000000000002","13.687",
"1070233315","663807494","-62519151","343.87","0","53.799999999999955","13.672","324","103","53.799999999999955","13.672",
"1070233316","663806050","-62519447","357.42","0","53.799999999999955","13.558","303","103","53.799999999999955","13.558",
"1070233317","663804560","-62519767","371.41","0","53.799999999999955","13.541","322","102","53.799999999999955","13.541",
"1070233318","663803167","-62519939","384.43","0","53.60000000000002","13.609","342","102","53.60000000000002","13.609",
"1070233319","663801672","-62519978","398.38","0","53.39999999999998","13.743","306","102","53.39999999999998","13.743",
"1070233320","663800180","-62519999","412.31","0","53.200000000000045","13.91","295","102","53.200000000000045","13.91",
"1070233321","663798733","-62519842","425.84","0","52.799999999999955","14.095","296","102","52.799999999999955","14.095",
"1070233322","663797214","-62519255","440.37","0","52.39999999999998","14.304","309","102","52.39999999999998","14.304",
"1070233323","663795758","-62518314","454.84","0","52.200000000000045","14.469","314","101","52.200000000000045","14.469",
"1070233324","663794351","-62517113","469.42","0","51.799999999999955","14.595","304","103","51.799999999999955","14.595",
"1070233325","663793052","-62515669","483.74","0","51.39999999999998","14.751","296","103","51.39999999999998","14.751",
"1070233326","663791788","-62513947","498.62","0","51.0","14.982","287","103","51.0","14.982",
"1070233327","663790690","-62511826","513.86","0","50.39999999999998","15.123","235","104","50.39999999999998","15.123",
"1070233328","663790387","-62509079","528.77","0","50.0","15.327","420","103","50.0","15.327",
"1070233329","663790425","-62506090","544.51","0","49.799999999999955","15.426","376","92","49.799999999999955","15.426",
"1070233330","663790164","-62503167","560.1","0","49.39999999999998","15.586","357","89","49.39999999999998","15.586",
"1070233331","663789512","-62500476","575.53","0","49.0","15.726","296","89","49.0","15.726",
"1070233332","663788609","-62498005","591.02","0","48.60000000000002","15.704","286","89","48.60000000000002","15.704",
"1070233333","663787508","-62495743","606.75","0","48.0","15.669","256","89","48.0","15.669",
"1070233334","663786243","-62493620","623.01","0","47.60000000000002","15.745","297","88","47.60000000000002","15.745",
"1070233335","663784921","-62491765","638.74","0","47.39999999999998","15.633","231","88","47.39999999999998","15.633",
"1070233336","663783584","-62490162","653.79","0","47.0","15.498","253","87","47.0","15.498",
"1070233337","663782095","-62488655","669.77","0","46.60000000000002","15.248","270","87","46.60000000000002","15.248",
"1070233338","663780628","-62487427","684.9","0","46.39999999999998","14.957","239","87","46.39999999999998","14.957",
"1070233339","663779177","-62486494","699.3","0","46.0","14.87","284","87","46.0","14.87",
"1070233340","663777585","-62485655","714.8","0","45.799999999999955","14.979","298","87","45.799999999999955","14.979",
"1070233341","663776002","-62485109","729.84","0","45.39999999999998","15.022","265","95","45.39999999999998","15.022",
"1070233342","663774426","-62484757","744.67","0","45.200000000000045","15.077","309","100","45.200000000000045","15.077",
"1070233343","663772761","-62484625","760.22","0","45.0","15.116","305","99","45.0","15.116",
"1070233344","663771234","-62484681","774.47","0","44.799999999999955","15.126","289","99","44.799999999999955","15.126",
"1070233345","663769589","-62485026","789.93","0","44.60000000000002","15.118","289","99","44.60000000000002","15.118",
"1070233346","663767949","-62485297","805.3","0","44.39999999999998","14.988","242","99","44.39999999999998","14.988",
"1070233347","663766468","-62484532","819.81","0","44.200000000000045","15.053","292","98","44.200000000000045","15.053",
"1070233348","663765325","-62482468","835.17","0","43.799999999999955","15.214","282","97","43.799999999999955","15.214",
"1070233349","663764651","-62479779","850.69","0","43.200000000000045","15.429","377","98","43.200000000000045","15.429",
"1070233350","663764304","-62476905","866.17","0","42.799999999999955","15.451","256","99","42.799999999999955","15.451",
"1070233351","663764156","-62474018","881.43","0","42.39999999999998","15.552","297","99","42.39999999999998","15.552",
"1070233352","663764128","-62471047","897.07","0","42.0","15.644","268","99","42.0","15.644",
"1070233353","663764192","-62468099","912.59","0","41.60000000000002","15.715","264","98","41.60000000000002","15.715",
"1070233354","663764324","-62465105","928.39","0","41.39999999999998","15.78","267","99","41.39999999999998","15.78",
"1070233355","663764507","-62462002","944.81","0","41.0","15.842","267","99","41.0","15.842",
"1070233356","663764686","-62459126","960.03","0","40.60000000000002","15.913","355","95","40.60000000000002","15.913",
"1070233357","663764915","-62456013","976.55","0","40.39999999999998","15.93","312","89","40.39999999999998","15.93",
"1070233358","663765212","-62453139","991.92","0","40.200000000000045","15.898","292","89","40.200000000000045","15.898",
"1070233359","663765639","-62450272","1007.53","0","40.0","15.728","269","89","40.0","15.728",
"1070233360","663766286","-62447387","1023.87","0","39.799999999999955","15.423","282","89","39.799999999999955","15.423",
"1070233361","663767183","-62444950","1039.2","0","39.799999999999955","15.194","254","86","39.799999999999955","15.194",
"1070233362","663768386","-62443050","1054.29","0","39.60000000000002","15.121","259","86","39.60000000000002","15.121",
"1070233363","663769802","-62441981","1068.72","0","39.39999999999998","15.119","303","85","39.39999999999998","15.119",
"1070233364","663771492","-62441665","1084.62","0","39.200000000000045","15.109","281","85","39.200000000000045","15.109",
"1070233365","663773110","-62441903","1099.77","0","39.0","15.104","296","85","39.0","15.104",
"1070233366","663774666","-62442134","1114.32","0","39.0","15.09","289","85","39.0","15.09",
"1070233367","663776280","-62442309","1129.39","0","38.799999999999955","15.051","270","84","38.799999999999955","15.051",
"1070233368","663777911","-62442355","1144.6","0","38.60000000000002","15.005","281","85","38.60000000000002","15.005",
"1070233369","663779550","-62442260","1159.89","0","38.60000000000002","14.947","295","85","38.60000000000002","14.947",
"1070233370","663781121","-62442004","1174.61","0","38.60000000000002","14.857","290","85","38.60000000000002","14.857",
"1070233371","663782687","-62441498","1189.45","0","38.60000000000002","14.714","276","85","38.60000000000002","14.714",
"1070233372","663784195","-62440930","1203.83","0","38.799999999999955","14.509","262","84","38.799999999999955","14.509",
"1070233373","663785689","-62440417","1218.0","0","39.0","14.242","273","84","39.0","14.242",
"1070233374","663787187","-62440057","1232.09","0","39.200000000000045","13.905","260","84","39.200000000000045","13.905",
"1070233375","663788738","-62439895","1246.56","0","39.39999999999998","13.61","303","93","39.39999999999998","13.61",
"1070233376","663790187","-62439799","1260.08","0","39.39999999999998","13.452","294","92","39.39999999999998","13.452",
"1070233377","663791539","-62439229","1273.05","0","39.60000000000002","13.352","264","92","39.60000000000002","13.352",
"1070233378","663792818","-62437933","1286.84","0","39.60000000000002","13.268","303","91","39.60000000000002","13.268",
"1070233379","663793772","-62436027","1300.31","0","39.60000000000002","13.175","237","91","39.60000000000002","13.175",
"1070233380","663794303","-62433806","1313.04","0","39.60000000000002","13.079","231","90","39.60000000000002","13.079",
"1070233381","663794458","-62431390","1325.86","0","39.60000000000002","12.997","237","89","39.60000000000002","12.997",
"1070233382","663794322","-62428889","1339.09","0","39.60000000000002","12.943","290","90","39.60000000000002","12.943",
"1070233383","663793954","-62426546","1351.88","0","39.60000000000002","12.881","297","90","39.60000000000002","12.881",
"1070233384","663793419","-62424342","1364.5","0","39.60000000000002","12.789","259","90","39.60000000000002","12.789",
"1070233385","663792798","-62422121","1377.54","0","39.60000000000002","12.768","330","90","39.60000000000002","12.768",
"1070233386","663792127","-62420001","1390.33","0","39.60000000000002","12.763","282","94","39.60000000000002","12.763",
"1070233387","663791369","-62418055","1402.78","0","39.39999999999998","12.773","255","94","39.39999999999998","12.773",
"1070233388","663790441","-62416288","1415.5","0","39.200000000000045","12.8","230","94","39.200000000000045","12.8",
"1070233389","663789305","-62414853","1428.55","0","39.0","12.856","260","94","39.0","12.856",
"1070233390","663787991","-62413991","1441.66","0","38.799999999999955","12.894","241","94","38.799999999999955","12.894",
"1070233391","663786658","-62413729","1454.19","0","38.60000000000002","12.922","281","94","38.60000000000002","12.922",
"1070233392","663785277","-62413906","1467.11","0","38.60000000000002","12.875","253","94","38.60000000000002","12.875",
"1070233393","663783906","-62414201","1479.98","0","38.39999999999998","12.806","261","93","38.39999999999998","12.806",
"1070233394","663782531","-62414082","1492.85","0","38.39999999999998","12.776","289","94","38.39999999999998","12.776",
"1070233395","663781268","-62413079","1505.92","0","38.200000000000045","12.796","283","94","38.200000000000045","12.796",
"1070233396","663780590","-62411076","1518.36","0","38.0","12.897","274","94","38.0","12.897",
"1070233397","663780311","-62408595","1531.7","0","37.799999999999955","13.087","362","95","37.799999999999955","13.087",
"1070233398","663780145","-62406058","1545.14","0","37.39999999999998","13.287","315","94","37.39999999999998","13.287",
"1070233399","663779817","-62403601","1558.47","0","37.200000000000045","13.479","303","96","37.200000000000045","13.479",
"1070233400","663778964","-62401661","1571.59","0","37.0","13.567","251","97","37.0","13.567",
"1070233401","663777586","-62400778","1585.44","0","36.60000000000002","13.685","267","97","36.60000000000002","13.685",
"1070233402","663776207","-62401330","1598.76","0","36.39999999999998","13.716","252","97","36.39999999999998","13.716",
"1070233403","663774854","-62402465","1612.7","0","36.200000000000045","13.692","247","96","36.200000000000045","13.692",
"1070233404","663773447","-62403266","1626.58","0","36.0","13.589","261","96","36.0","13.589",
"1070233405","663772036","-62402743","1640.18","0","35.799999999999955","13.537","246","96","35.799999999999955","13.537",
"1070233406","663770872","-62401345","1653.36","0","35.799999999999955","13.501","253","96","35.799999999999955","13.501",
"1070233407","663770037","-62399265","1666.85","0","35.799999999999955","13.448","271","96","35.799999999999955","13.448",
"1070233408","663769553","-62396816","1680.52","0","36.0","13.319","271","95","36.0","13.319",
"1070233409","663769327","-62394313","1693.87","0","36.0","13.162","270","95","36.0","13.162",
"1070233410","663769288","-62391928","1706.42","0","36.39999999999998","12.978","278","95","36.39999999999998","12.978",
