Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,3,record,timestamp,"1106440273",s,position_lat,"-259331664",semicircles,position_long,"1982624128",semicircles,distance,"0.32",m,altitude,"13.0",m,speed,"11.319",m/s,power,"451",watts,heart_rate,"150",bpm,cadence,"107",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.319",m/s,
Data,3,record,timestamp,"1106440274",s,position_lat,"-259330784",semicircles,position_long,"1982623744",semicircles,distance,"9.36",m,altitude,"13.0",m,speed,"11.546",m/s,power,"410",watts,heart_rate,"152",bpm,cadence,"106",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.546",m/s,
Data,3,record,timestamp,"1106440275",s,position_lat,"-259329616",semicircles,position_long,"1982623104",semicircles,distance,"21.08",m,altitude,"13.0",m,speed,"11.772",m/s,power,"374",watts,heart_rate,"153",bpm,cadence,"107",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.772",m/s,
Data,3,record,timestamp,"1106440276",s,position_lat,"-259328560",semicircles,position_long,"1982622592",semicircles,distance,"32.64",m,altitude,"13.0",m,speed,"11.716",m/s,power,"403",watts,heart_rate,"155",bpm,cadence,"107",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.716",m/s,
Data,3,record,timestamp,"1106440277",s,position_lat,"-259327984",semicircles,position_long,"1982621312",semicircles,distance,"44.64",m,altitude,"13.0",m,speed,"11.935",m/s,power,"437",watts,heart_rate,"156",bpm,cadence,"108",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"11.935",m/s,
Data,3,record,timestamp,"1106440278",s,position_lat,"-259328096",semicircles,position_long,"1982619904",semicircles,distance,"56.58",m,altitude,"13.0",m,speed,"12.183",m/s,power,"475",watts,heart_rate,"157",bpm,cadence,"108",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"12.183",m/s,
Data,3,record,timestamp,"1106440279",s,position_lat,"-259328480",semicircles,position_long,"1982618624",semicircles,distance,"68.85",m,altitude,"13.0",m,speed,"12.418",m/s,power,"445",watts,heart_rate,"158",bpm,cadence,"108",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"12.418",m/s,
Data,3,record,timestamp,"1106440280",s,position_lat,"-259328992",semicircles,position_long,"1982617344",semicircles,distance,"81.34",m,altitude,"13.0",m,speed,"12.527",m/s,power,"396",watts,heart_rate,"159",bpm,cadence,"109",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"12.527",m/s,
Data,3,record,timestamp,"1106440281",s,position_lat,"-259329504",semicircles,position_long,"1982615936",semicircles,distance,"94.05",m,altitude,"13.0",m,speed,"12.64",m/s,power,"327",watts,heart_rate,"159",bpm,cadence,"109",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"12.64",m/s,
Data,3,record,timestamp,"1106440282",s,position_lat,"-259330016",semicircles,position_long,"1982614656",semicircles,distance,"106.62",m,altitude,"13.0",m,speed,"12.715",m/s,power,"390",watts,heart_rate,"160",bpm,cadence,"108",rpm,enhanced_altitude,"13.0",m,enhanced_speed,"12.715",m/s,
