record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1070835075","-138807931","1992069836","0.85","135","13.0","9.855","337","100","13.0","9.855",
"1070835076","-138809010","1992070185","11.37","135","13.0","10.093","313","100","13.0","10.093",
"1070835077","-138810017","1992070525","21.21","137","13.0","10.279","305","99","13.0","10.279",
"1070835078","-138811061","1992071003","31.85","138","13.0","10.411","309","99","13.0","10.411",
"1070835079","-138812004","1992071595","42.15","140","13.0","10.561","276","99","13.0","10.561",
"1070835080","-138812837","1992072352","52.57","141","13.0","10.707","312","99","13.0","10.707",
"1070835081","-138813338","1992073441","63.68","141","13.0","10.884","322","99","13.0","10.884",
"1070835082","-138813348","1992074624","74.58","143","13.0","11.055","342","98","13.0","11.055",
"1070835083","-138813085","1992075803","85.67","144","13.0","11.274","421","100","13.0","11.274",
"1070835084","-138812706","1992076976","96.99","145","13.0","11.438","355","101","13.0","11.438",
"1070835085","-138812308","1992078158","108.43","147","13.0","11.575","305","101","13.0","11.575",
"1070835086","-138811851","1992079384","120.44","148","13.0","11.684","254","100","13.0","11.684",
"1070835087","-138811376","1992080543","131.94","148","13.0","11.753","266","98","13.0","11.753",
"1070835088","-138810925","1992081751","143.77","149","13.0","11.813","252","99","13.0","11.813",
"1070835089","-138810605","1992083002","155.62","150","13.0","11.852","244","98","13.0","11.852",
"1070835090","-138810433","1992084266","167.32","151","13.0","11.869","236","98","13.0","11.869",
"1070835091","-138810396","1992085568","179.27","151","13.0","11.887","288","97","13.0","11.887",
"1070835092","-138810530","1992086846","191.05","152","13.0","11.921","283","96","13.0","11.921",
"1070835093","-138810837","1992088149","203.34","153","13.0","11.976","319","97","13.0","11.976",
"1070835094","-138811219","1992089403","215.37","153","13.0","12.02","265","97","13.0","12.02",
"1070835095","-138811638","1992090640","227.36","153","13.0","12.041","274","97","13.0","12.041",
